property_type,location,sq_meters,bedrooms,has_garage,further_details,price,latitude,longitude
Casa o chalet independiente,"Calle Navajo, 18, El Perdigon",320,2,0,,332000,41.4103046,-5.7512901
Ático,"Campo Marte, 3, La Lana, Zamora",115,3,0,5ª planta exterior con ascensor,175157,41.5086653,-5.7469508
Casa o chalet independiente,"Plaza Sol, Torres del Carrizal",191,6,1,,135133,41.6158422,-5.6716999
Chalet pareado,"Calle Félix Rodríguez de la Fuente, Villaralbo",155,4,1,,175213,41.4914385,-5.6890687
Piso,"CL Santa Teresa, 33, Ensanche, Zamora",127,3,0,2ª planta exterior con ascensor,189000,,
Chalet pareado,"Calle de Peñalagar, 1, San Isidro - Espíritu Santo, Zamora",284,4,1,,350000,,
Chalet adosado,"Córdoba s/n, Pantoja - Vista Alegre, Zamora",211,4,1,,349800,,
Ático,"Calle de la Hiniesta, La Hiniesta, Zamora",97,3,1,3ª planta exterior con ascensor,185000,41.5533825,-5.7989145
Chalet adosado,Coreses,230,5,0,,105000,41.5485022,-5.6208725
Casa o chalet,"La Lana, Zamora",321,4,0,,99000,41.5066617,-5.7465251
Piso,"Ensanche, Zamora",123,4,0,4ª planta exterior con ascensor,240000,,
Chalet adosado,"Plaza Corralón, Centro, Zamora",168,3,0,,180000,,
Piso,"Calle Cortinas San Miguel, Centro, Zamora",134,3,0,7ª planta exterior con ascensor,270000,,
Piso,"Av Tres Cruces, Ensanche, Zamora",240,5,1,7ª planta exterior con ascensor,495000,,
Piso,"CL Fermoselle, Barrio Pinilla, Zamora",80,3,1,2ª planta exterior con ascensor,129900,,
Chalet pareado,"Camino de San Jerónimo, 8, Barrio Pinilla, Zamora",197,4,1,,229000,,
Piso,"Calle Requejo, Coreses",388,4,1,1ª planta exterior sin ascensor,150000,,
Piso,"Villalpando, 42, La Lana, Zamora",119,4,0,2ª planta exterior sin ascensor,129900,41.5090316,-5.7475668
Casa o chalet independiente,"El Tomillar, Morales del Vino",320,3,1,,300000,41.4339697,-5.7346078
Casa o chalet independiente,"Las Vegas - La Feria, Zamora",442,5,1,,650000,,
Piso,"Centro, Zamora",120,3,0,3ª planta interior con ascensor,210000,41.3654285,-6.1118855
Chalet adosado,"La Hiniesta, Zamora",296,3,1,,275000,41.551995,-5.79892
Piso,"Pantoja - Vista Alegre, Zamora",68,2,1,5ª planta interior con ascensor,165000,,
Piso,"Magistral Romero, Centro, Zamora",101,3,0,3ª planta exterior sin ascensor,100000,,
Chalet adosado,El Perdigon,239,3,0,,60000,41.4135073,-5.7529143
Chalet adosado,"Barrio Pinilla, Zamora",190,3,0,,45000,41.4952427,-5.7415566
Piso,"San Lázaro, Zamora",128,6,0,Bajo exterior sin ascensor,220000,41.5071602,-5.7531346
Piso,"Caballeros, Casco Antiguo, Zamora",100,2,1,Bajo exterior con ascensor,125000,,
Chalet adosado,"Barrio Pinilla, Zamora",66,2,0,,90000,41.4952427,-5.7415566
Piso,"Ensanche, Zamora",125,4,0,1ª planta exterior con ascensor,235000,,
Piso,"Calle de Villalpando, 7, San Lázaro, Zamora",90,3,0,5ª planta exterior con ascensor,130000,41.5072817,-5.7498463
Piso,"Churruca, 50, Los Bloques, Zamora",76,2,0,Entreplanta exterior con ascensor,135500,41.5112433,-5.7340174
Piso,"CL Churruca, 50, Los Bloques, Zamora",85,2,0,1ª planta exterior con ascensor,141000,41.511087,-5.7343498
Piso,"Plaza del Maestro, Centro, Zamora",68,2,0,1ª planta exterior con ascensor,205000,,
Piso,"Calle de Villalpando, San Lázaro, Zamora",85,3,0,5ª planta exterior con ascensor,130000,41.5118033,-5.7465302
Piso,"Bajada San Pablo, Centro, Zamora",83,3,0,2ª planta sin ascensor,120000,,
Chalet adosado,"CL San Roque, Muelas del Pan",123,3,1,,72000,41.5221847,-5.9676724
Piso,"Cr Estacion, Pantoja - Vista Alegre, Zamora",73,1,1,1ª planta exterior con ascensor,159500,,
Piso,"CL Doctor Villalobos, La Candelaria, Zamora",152,5,0,4ª planta exterior con ascensor,187000,41.5042299,-5.7355826
Dúplex,"Calle de Cabañales, 55, Barrio Pinilla, Zamora",91,2,1,5ª planta exterior con ascensor,131000,41.5007098,-5.7501858
Casa o chalet independiente,"León Felipe, Morales del Vino",293,5,1,,450000,,
Casa rural,"Calle zamora, 42, Morales del Vino",410,10,0,,350000,41.4489776,-5.7308094
Piso,"Ensanche, Zamora",149,4,0,1ª planta exterior con ascensor,195000,,
Piso,"Jimenez De Quesada, 6, Pantoja - Vista Alegre, Zamora",105,4,1,5ª planta exterior con ascensor,247000,,
Piso,"Avenida de las Tres Cruces, Ensanche, Zamora",84,3,1,7ª planta interior con ascensor,185000,,
Ático,"Avenida del Cardenal Cisneros, 60, Pantoja - Vista Alegre, Zamora",250,6,1,8ª planta exterior con ascensor,580000,,
Piso,"La Candelaria, Zamora",208,3,0,3ª planta exterior con ascensor,450000,41.5074768,-5.7315389
Chalet pareado,"Calle Miguel de Cervantes, Morales del Vino",140,4,1,,250000,41.440059,-5.7370619
Piso,"Obispo Acuña, La Candelaria, Zamora",90,3,0,2ª planta interior con ascensor,105000,41.5036806,-5.7356632
Chalet adosado,"CL Sancho IV, La Lana, Zamora",164,3,0,,67000,41.5062898,-5.7465344
Piso,"Casco Antiguo, Zamora",98,3,1,1ª planta exterior sin ascensor,226000,39.9594827,-4.8313115
Piso,"Calle de Salamanca, 78, Barrio Pinilla, Zamora",71,2,1,4ª planta exterior con ascensor,128000,,
Casa de pueblo,"CL Pasion, Andavias",183,4,1,,34000,41.5964798,-5.8609326
Piso,"Calle de Villalpando, 7, San Lázaro, Zamora",90,3,0,5ª planta exterior con ascensor,130000,41.5072817,-5.7498463
Chalet pareado,"Calle San Vicente, Montamarta",135,3,1,,135000,41.6511285,-5.8103432
Casa de pueblo,"de la Ermita, 1, Morales del Vino",150,5,0,,59900,41.4461085,-5.7327187
Casa o chalet independiente,"CL Prado Verde, Torres del Carrizal",173,4,1,,45000,41.6143355,-5.6698882
Piso,"Bajada San Pablo, 2, Centro, Zamora",83,3,0,2ª planta exterior con ascensor,120000,,
Piso,"Calle Santa Susana, San Lázaro, Zamora",82,4,0,Bajo,69000,41.5060259,-5.7539813
Piso,"Calle Doctor Villalobos, La Candelaria, Zamora",120,4,1,3ª planta exterior con ascensor,197200,41.5042299,-5.7355826
Chalet adosado,"Calle Miguel de Unamuno, 40, Morales del Vino",160,3,1,,190000,41.4392207,-5.7377323
Piso,"Fray Toribio Motolimia, 16, Ensanche, Zamora",106,4,0,1ª planta exterior con ascensor,235000,,
Piso,"Barrio Pinilla, Zamora",68,3,1,2ª planta exterior con ascensor,129900,41.4952427,-5.7415566
Piso,"La Candelaria, Zamora",105,3,1,1ª planta interior con ascensor,170000,41.5074768,-5.7315389
